ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
202;SRR30310365;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
203;SRR30310366;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
204;SRR30310367;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
205;SRR30310368;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;viral biotroph;biotroph;full aerial
206;SRR30310369;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
207;SRR30310370;Turnip mosaic virus (TuMV);14;control;paired;300;control;viral biotroph;biotroph;full aerial
208;SRR24657655;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;viral biotroph;biotroph;leaf
209;SRR24657656;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;viral biotroph;biotroph;leaf
210;SRR24657657;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;viral biotroph;biotroph;leaf
211;SRR24657658;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;viral biotroph;biotroph;leaf
212;SRR24657659;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Evolved TuMV infected passage 12;viral biotroph;biotroph;leaf
213;SRR24657669;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;viral biotroph;biotroph;leaf
214;SRR24657680;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;viral biotroph;biotroph;leaf
215;SRR24657691;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;viral biotroph;biotroph;leaf
216;SRR24657702;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;viral biotroph;biotroph;leaf
217;SRR24657703;Turnip mosaic virus (TuMV) 3;14;infected;paired;300;Naïve TuMV infected\, passage 1;viral biotroph;biotroph;leaf
218;ERR7738942;Turnip yellows virus (TuYV);14;infected;paired;150;infected;viral biotroph;biotroph;leaf
219;ERR7738943;Turnip yellows virus (TuYV);14;infected;paired;150;infected;viral biotroph;biotroph;leaf
220;ERR7738944;Turnip yellows virus (TuYV);14;infected;paired;150;infected;viral biotroph;biotroph;leaf
221;SRR30606508;Botrytis cinerea;0,5;infected;paired;300;infected;necrotoph;necrotroph;whole plant
222;SRR30606509;Botrytis cinerea;0,25;infected;paired;300;infected;necrotoph;necrotroph;whole plant
223;SRR30606510;Botrytis cinerea;0,25;infected;paired;300;infected;necrotoph;necrotroph;whole plant
224;SRR30606511;Botrytis cinerea;0,25;infected;paired;300;infected;necrotoph;necrotroph;whole plant
225;SRR30606517;Botrytis cinerea;4;infected;paired;300;infected;necrotoph;necrotroph;whole plant
226;SRR30606518;Botrytis cinerea;4;infected;paired;300;infected;necrotoph;necrotroph;whole plant
227;SRR30606519;Botrytis cinerea;4;infected;paired;300;infected;necrotoph;necrotroph;whole plant
228;SRR30606520;Botrytis cinerea;3;infected;paired;300;infected;necrotoph;necrotroph;whole plant
229;SRR30606521;Botrytis cinerea;0;control;paired;300;control;necrotoph;necrotroph;whole plant
230;SRR30606522;Botrytis cinerea;3;infected;paired;300;infected;necrotoph;necrotroph;whole plant
231;SRR30606523;Botrytis cinerea;3;infected;paired;300;infected;necrotoph;necrotroph;whole plant
232;SRR30606524;Botrytis cinerea;2;infected;paired;300;infected;necrotoph;necrotroph;whole plant
233;SRR30606525;Botrytis cinerea;2;infected;paired;300;infected;necrotoph;necrotroph;whole plant
234;SRR30606526;Botrytis cinerea;2;infected;paired;300;infected;necrotoph;necrotroph;whole plant
235;SRR30606527;Botrytis cinerea;1;infected;paired;300;infected;necrotoph;necrotroph;whole plant
236;SRR30606528;Botrytis cinerea;1;infected;paired;300;infected;necrotoph;necrotroph;whole plant
237;SRR30606529;Botrytis cinerea;1;infected;paired;300;infected;necrotoph;necrotroph;whole plant
238;SRR30606530;Botrytis cinerea;0,5;infected;paired;300;infected;necrotoph;necrotroph;whole plant
239;SRR30606531;Botrytis cinerea;0,5;infected;paired;300;infected;necrotoph;necrotroph;whole plant
240;SRR30606532;Botrytis cinerea;0;control;paired;300;control;necrotoph;necrotroph;whole plant
241;SRR30606533;Botrytis cinerea;0;control;paired;300;control;necrotoph;necrotroph;whole plant
242;SRR18568313;Alternaria brassicae;10;control;single;100;control;necrotoph;necrotroph;entire seed
243;SRR18568314;Alternaria brassicae;10;control;single;100;control;necrotoph;necrotroph;entire seed
244;SRR18568315;Alternaria brassicae;10;control;single;100;control;necrotoph;necrotroph;entire seed
245;SRR18568316;Alternaria brassicae;6;control;single;100;control;necrotoph;necrotroph;entire seed
246;SRR18568317;Alternaria brassicae;6;control;single;100;control;necrotoph;necrotroph;entire seed
247;SRR18568318;Alternaria brassicae;6;control;single;100;control;necrotoph;necrotroph;entire seed
248;SRR18568319;Alternaria brassicae;3;control;single;100;control;necrotoph;necrotroph;entire seed
249;SRR18568320;Alternaria brassicae;3;control;single;100;control;necrotoph;necrotroph;entire seed
250;SRR18568321;Alternaria brassicae;3;control;single;100;control;necrotoph;necrotroph;entire seed
