Run;Experiment;Timepoint (dpi);infected/control;single/paired;avgSpotLen;infection;infected/control.num
SRR3124761;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;0
SRR3124764;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;0
SRR3124766;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;0
SRR3124767;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;0
SRR3124769;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;1
SRR3124770;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;0
SRR3124772;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;0
SRR3124775;Plasmodiophora brassicae 2;17;control;paired;202;control - root;0
SRR3124986;Plasmodiophora brassicae 2;20;control;paired;202;control - root;0
SRR3124987;Plasmodiophora brassicae 2;24;control;paired;202;control - root;0
SRR3124990;Plasmodiophora brassicae 2;17;control;paired;202;control - root;0
SRR3124992;Plasmodiophora brassicae 2;20;control;paired;202;control - root;0
SRR3124994;Plasmodiophora brassicae 2;24;control;paired;202;control - root;0
SRR3124997;Plasmodiophora brassicae 2;17;control;paired;202;control - root;0
SRR3124998;Plasmodiophora brassicae 2;20;control;paired;202;control - root;0
SRR3125002;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;1
SRR3125004;Plasmodiophora brassicae 2;24;control;paired;202;control - root;0
SRR3125005;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;1
SRR30310344;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-AS;1
SRR30310345;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310346;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310347;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310348;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310349;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310350;Turnip mosaic virus (TuMV);14;control;paired;300;control;0
SRR30310351;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310352;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310353;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310354;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310355;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310356;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
SRR30310357;Turnip mosaic virus (TuMV);14;infected;paired;300;TuMV-DV;1
