"","MEpink","MEturquoise","MEgreenyellow","MEpaleturquoise","MEdarkred","MEmagenta","MEskyblue","MEdarkolivegreen","MEdarkturquoise","MEdarkgreen","MEcyan","MEgreen","MEblue","MEdarkorange","MEsaddlebrown","MEblack","MEwhite","MEgrey"
"SRR8800689",-0.0816336492435287,-0.0534485063880748,-0.0128391970598918,0.081130597521526,0.0241350248075582,-0.00202924921657954,0.108805294628121,-0.0195070427106065,-0.0282059927097536,-0.0482620557965222,-0.0185370044043785,-0.0300750070574691,0.0875968800114698,-0.043370863827474,-0.0572714088701654,-0.0804688676084073,-0.140473815646981,-0.00598094327220054
"SRR8800690",-0.0818223773495093,-0.0528758193413062,-0.0157283078012517,0.0800003760434441,0.0236602437029765,-0.00393334214828651,0.107830558891389,-0.00705499253638818,-0.0275960927045739,-0.0484565067433951,-0.0165658674242509,-0.0296487641450834,0.0866471226267999,-0.0432526236816974,-0.0562156763960001,-0.0797979278259821,-0.141739197024367,-0.00665428520235882
"SRR8800691",-0.0825139964177337,-0.0544226486865866,-0.0172447099896066,0.0823649582016688,0.0231561468602602,-0.00177552501455244,0.113946449990794,-0.0195070427106065,-0.0292339497719906,-0.0491192131023385,-0.0157850195833383,-0.0296722549289973,0.0868381730046175,-0.0432378351683577,-0.0572878735789501,-0.0814703640551992,-0.141202324414025,-0.00916097799932069
"SRR8800692",-0.0662483868536369,-0.0473227686741547,0.0194240230140004,0.083054888613242,0.00563688695976704,0.00641463656189159,0.0967170115320077,-0.0149371445564908,-0.0219395975831413,-0.0436206700432417,-0.0150306474856914,-0.0251364404177082,0.0846954594438292,-0.0480140249385533,-0.0372222422184715,-0.0775596481175801,-0.13704523558435,-0.00615858903840043
"SRR8800693",-0.0754949168122847,-0.0479833128726239,0.03363211554125,0.0803904677197956,0.00787056902330437,0.00565761936616918,0.0943236902414937,-0.0115428300082985,-0.0249706355469885,-0.0271745177444899,-0.0167014550869875,-0.0241626989984024,0.0722921911362023,-0.0393029926977409,-0.0497715583337838,-0.045520977434233,-0.124341762990772,-0.019263315665221
"SRR8800694",-0.0761629758308896,-0.0485788212269632,0.0345791796107185,0.0801508691099202,0.00670966535637648,0.00572306408753685,0.0958332152260459,-0.0130378687189476,-0.0247078062703113,-0.0289482075339303,-0.0174966484617814,-0.0248040950688896,0.0725304741845573,-0.0398358875554592,-0.0464349776387849,-0.0448966802523388,-0.124700229705555,-0.00939432028980453
"SRR8800695",-0.0715292962948038,-0.0492986416219359,0.0111341124332138,0.089451626651268,0.00263061314938484,0.00517275290886551,0.104815616419825,-0.0195070427106065,-0.0241215113874165,-0.0554113963388836,-0.0167329899540984,-0.0259339195861007,0.0902603354646258,-0.0480263387070123,-0.0487290799910174,-0.0918854467916837,-0.147427799741555,-0.00910896245200281
"SRR8800696",-0.0730195725452652,-0.0505873385825079,0.0109159368470327,0.0898318618760445,0.00351626042118463,0.00442454488454691,0.108293156932679,-0.0195070427106065,-0.0286346933449284,-0.0572891476147341,-0.0154437637268832,-0.0277568215051934,0.0910839190937233,-0.0505924859709639,-0.0537985881947928,-0.0927737197495533,-0.148382962178375,-0.022647884153365
"SRR8800697",-0.0688197881432725,-0.0546758515515519,0.00716627289588116,0.0916499751674119,0.0217244409787442,-0.013870843014661,0.113538765309511,-0.0195070427106065,-0.0319169893531457,-0.0744808358450885,-0.0199889763361293,-0.0357338214247781,0.0945688217297001,-0.0561513961013573,-0.050838349758206,-0.101355329026178,-0.150162248672236,-0.013368770287006
"SRR8800698",-0.0740391935575087,-0.0552665347217333,0.00362398750006776,0.0949945568194762,0.0207427416592902,-0.0107102292529312,0.112540933659541,-0.0147897932990633,-0.0326452053094628,-0.0746373606366825,-0.0191754907251715,-0.0373355620391962,0.0942850821747651,-0.0554108697480625,-0.0618009313215413,-0.098455249362984,-0.151981923696025,-0.013368770287006
"SRR8800699",-0.0600497653745229,-0.0489120286559451,0.00639114909680564,0.0907900787300619,0.0208024852880906,-0.00488489232959386,0.107615414438979,-0.0129973177240682,-0.0271907559507649,-0.0670698175954539,-0.0182717081997378,-0.0315078446665063,0.0914081847652539,-0.0523888944474026,-0.0449752214479082,-0.0958386859577863,-0.143793072527065,-0.00559043347367265
"SRR8800700",-0.0609310964962696,-0.0490599402478071,0.00475072074120387,0.0919565677099127,0.0211734087943103,-0.00564413955851974,0.10790412855171,-0.0181763304631923,-0.0270512947910223,-0.0689212712069956,-0.0170660359734261,-0.030721557209161,0.0910674695582872,-0.0535048766445999,-0.0463229659748345,-0.094688448544675,-0.145176437939127,-0.013368770287006
"SRR8800701",-0.0602313248209148,-0.0487394091758114,0.00351956727300747,0.0918040296645617,0.0252745574263048,-0.00578344119446781,0.112500355055017,-0.0164440336732958,-0.0292149032046243,-0.0697058815469843,-0.0179651934098158,-0.0317340702793667,0.0913916966701036,-0.0492087697642854,-0.0440406501834093,-0.0953778596865599,-0.145243301194374,-0.0082099791685488
"SRR8800702",-0.065970785289796,-0.0511780992369627,0.00242863060166322,0.0914528675674516,0.0129088738371727,-0.0079767597744035,0.11030641373276,-0.0123980070924909,-0.0351232912710818,-0.0734185523009562,-0.0192815429540307,-0.0357676093553645,0.0909211530708292,-0.0530609371492234,-0.049730669571997,-0.0920116911220526,-0.14109711831769,-0.013368770287006
"SRR8800703",-0.0720970895927627,-0.054440016623032,0.00225868660895737,0.0926299019113571,0.0174173923096865,-0.0124973963845571,0.112972664287092,-0.0195070427106065,-0.0375366276212441,-0.0761101713474877,-0.020021100697119,-0.0367990918626502,0.0911582642752146,-0.0463962747571902,-0.0587279423081138,-0.0930199867245367,-0.143828776335828,-0.00530762481372942
"SRR8800704",-0.0602527166753883,-0.047818667912738,0.00651511448471769,0.089536405997189,0.016684594443968,-0.00409791990395268,0.105389038313901,-0.0176303742574994,-0.0288383395761612,-0.0668757346495342,-0.0185443185121947,-0.0307091711911128,0.0869088023421084,-0.0476445256806773,-0.0428328958284469,-0.0886652338680587,-0.138145983177452,-0.00813711508680576
"SRR8800705",-0.0562492145267636,-0.0467011234607639,0.00553994106721683,0.0889037483231438,0.0188076633437351,-0.00502296488195817,0.108237485595958,-0.0168425818852463,-0.0291638581189054,-0.0664966778693298,-0.0182304705151348,-0.030660295362655,0.0871508330399186,-0.0447246690651525,-0.0422277789673317,-0.0875569776951969,-0.137630124248925,0.0144525668490671
"SRR8800706",-0.0628141480391056,-0.0508197900695913,0.0003308340791068,0.0890927500039113,0.0195796398800835,-0.00612207525046577,0.10839344670616,-0.0195070427106065,-0.029509815398914,-0.0692455621095227,-0.018349053886054,-0.0336482106095217,0.0888164402178152,-0.0472679586193516,-0.0546174440201577,-0.0907767050857081,-0.138461758139509,-0.013368770287006
"ERR9604272",0.0821112518367369,0.139865176400654,0.0305428683664851,0.118309665796681,0.053206364521828,-0.0247851204241063,0.0520923081088761,-0.0064542496083646,-0.0201603940225495,-0.0678552612574374,-0.00956895493826154,-0.0178164836537763,-0.0888837615009016,-0.0763944547865512,-0.0768882259551229,-0.0674420236582914,-0.0199377898758475,-0.00824467854398082
