"","MEgreen","MEviolet","MEblue","MEdarkgreen","MEpurple","MEblack","MEcyan","MElightyellow","MEdarkmagenta","MEskyblue3","MEyellowgreen","MEdarkgrey","MEdarkolivegreen","MEorange","MEdarkorange","MEpink","MEtan","MEyellow","MEgrey60","MEskyblue"
"SRR10030449",-0.0182119296938538,0.0245878962291322,-0.0299339236972702,-0.0504656102498565,-0.0150463038612761,0.0397805970840995,0.046041571225163,0.0923380296422805,-0.0199185559801136,-0.0173801589728884,0.0680270980366922,0.0682371889190019,0.0467799565747074,0.0263585738691709,-0.0438614828293149,-0.0307747207835879,-0.016093666490393,-0.0279013527620749,-0.0287230920372602,0.0168332142200029
"SRR10030450",-0.0172536220724616,0.0191496223307251,-0.0307989067989031,-0.0497401683587003,-0.0149160570606939,0.0401582842568498,0.0471478449812213,0.0910489158724243,-0.0233222492331849,-0.0173801589728884,0.074153556202622,0.0764231111771955,0.0449476740922919,0.0251160116754075,-0.0461227526380286,-0.0281107679303613,-0.0158230905827704,-0.0260599117722834,-0.0271435131113698,0.0187019843739036
"SRR10030451",-0.017561276417398,0.0177100071942431,-0.0310194763763933,-0.0504822437853117,-0.0158370154253128,0.0407532499887207,0.0455418883218314,0.0919213701025087,-0.0247576534179002,-0.0173801589728884,0.0602958912301114,0.0767409245120917,0.0451957810735938,0.0270613966215288,-0.0530698999784225,-0.0304827668137184,-0.0160045954948719,-0.0261610666289417,-0.0283201906695671,0.0255541293320593
"SRR10030452",-0.0174413533528059,0.0249092620499555,-0.0308164342299812,-0.0513319170763337,-0.0159152144804399,0.0387613043558468,0.0455615560585134,0.0940683808166637,-0.0238160047753282,-0.0173801589728884,0.0575050825101116,0.0692675631163706,0.0454261836722523,0.024309737937831,-0.0456642870584132,-0.0322450144612531,-0.0165597190845471,-0.024466013063301,-0.0277895748675541,0.020231559358116
"SRR10030453",-0.0165455891118216,0.0215604444780315,-0.030659460338496,-0.0512555479379658,-0.015112893974574,0.0395333133813124,0.0454178848400141,0.0908125728625658,-0.0214546391996717,-0.0173801589728884,0.0601340618729205,0.072067523236863,0.0454412840279168,0.0261672028957895,-0.0483387504709977,-0.0288881653601425,-0.0162885448115361,-0.0270104635946603,-0.0284220686012717,0.021598284262339
"SRR10030454",-0.0176755219884087,0.018802788409953,-0.0301934224721026,-0.0508652349291864,-0.0156870304275134,0.041068604365127,0.0455799557441559,0.0950566783089025,-0.023006864523547,-0.0173801589728884,0.0655614905568967,0.0724375531656175,0.0471645016838523,0.0272802066923517,-0.0461516113827499,-0.0305736644934571,-0.0142071336231295,-0.0260906375465599,-0.0275946546063147,0.0187011920891705
"SRR10030455",-0.0179616692165161,0.0254290818566242,-0.0305491776995748,-0.0499083363345624,-0.0150041412700096,0.0409663016497799,0.044620634405554,0.0923994651039975,-0.0242687747088018,-0.0173801589728884,0.070170484945894,0.0744436885565226,0.0450732614068067,0.0285866812637185,-0.0490336477284092,-0.031210060540883,-0.0141838377033155,-0.0260114189502733,-0.0278559139561763,0.0182308919894703
"SRR10030456",-0.0162538954932003,0.0189493471121005,-0.0300200225021881,-0.0523596128704835,-0.0164636465181744,0.040022186558339,0.0460735347647649,0.091326730005731,-0.0221546581319391,-0.0173801589728884,0.067324472218828,0.0730995109900967,0.0468013487597661,0.0256757652748751,-0.0464383170675298,-0.0295290583056243,-0.0165393732084945,-0.0254053925642111,-0.0283142148472396,0.0189915771752794
"SRR10030457",-0.0175946268439924,0.0231516755987619,-0.0301144750653774,-0.0510778854498537,-0.0132036500304158,0.0391176660584929,0.0461721648993053,0.0889434108235964,-0.0225205808796386,-0.0173801589728884,0.066015414994155,0.0706004379621188,0.0452493096097976,0.0245794929769215,-0.0450318829968749,-0.0277852934336367,-0.0160690652887256,-0.0277328130206076,-0.0276069960114128,0.0129258334658871
"SRR10030458",-0.0165204562496774,0.0231151436512136,-0.0302264039363962,-0.0499213903043964,-0.0143984588257495,0.039406729102382,0.045882751784674,0.0954838836822361,-0.0178384666437683,-0.0173801589728884,0.0722989872946495,0.076677727362658,0.0444972086537118,0.0280197683642917,-0.0534771142315988,-0.0311791891371205,-0.0161252865637034,-0.0265678134250224,-0.028607053693197,0.0172732607030108
"SRR10030459",-0.0180240203399959,0.0164393411553267,-0.030524382480156,-0.0490078476794907,-0.0143849019817161,0.0392493042343494,0.0461135667088544,0.0911136720927057,-0.0236103977766645,-0.0173801589728884,0.0618648386243426,0.076801684388156,0.0466879715034855,0.0267835878459256,-0.0465791471933929,-0.0284346511780026,-0.0153827014267581,-0.0273213983934627,-0.0278188636185097,0.0205702722644106
"SRR10030460",-0.0175367362050959,0.0192075453138069,-0.0302653019661225,-0.0524033438028082,-0.0148567669794793,0.0397865935194512,0.0465864261513665,0.0935669112072311,-0.0237522647054476,-0.0173801589728884,0.0612914029281169,0.0734420024001241,0.0457004403038505,0.0245335187383628,-0.0491362509728407,-0.0314035272604937,-0.0168668485934396,-0.0266457863089513,-0.0285890901909976,0.0185001785819255
"SRR10030461",-0.0183458217405543,0.0251584580769147,-0.0299592700086924,-0.0503494295610443,-0.0145992187095183,0.0402877639906704,0.0455734211148486,0.0934809696633052,-0.0247590782712281,-0.0173801589728884,0.0669302380884163,0.0707711751943206,0.0456626875170321,0.0249242079886272,-0.046575903316646,-0.0306962333765643,-0.0161135256689412,-0.0247967991323469,-0.0280081111261785,0.0225514529711128
"SRR10030462",-0.0169192627269807,0.022935858129622,-0.0301630035994309,-0.0492249310889057,-0.0124198736940494,0.0411310762586932,0.0458492978423983,0.0910888158605024,-0.0252157031047298,-0.0127350772834973,0.0629093836318495,0.075547298632404,0.0452846774221236,0.0314051128872173,-0.0528670310268408,-0.0308292224458618,-0.0161435783769373,-0.0260593592057272,-0.0289292862633091,0.0164543127550075
"SRR10030463",-0.0171122214907439,0.0201409663974464,-0.0308387211945475,-0.0506092497646385,-0.0151441339632965,0.0399049350098969,0.0467017262996944,0.0952633687342879,-0.0259501635377711,-0.0121840110504671,0.0674595927930006,0.0701541642058843,0.0451352517336347,0.0276066895048939,-0.0449528639303818,-0.02697048530792,-0.0149211890222706,-0.0272611301381185,-0.0278409437682197,0.0193636827398672
"SRR10030464",-0.0180313084095293,0.019495014041552,-0.0305675377398971,-0.0498111563136372,-0.0140346199443283,0.0405301727988939,0.0470073547176324,0.0936819466952951,-0.027398580471655,-0.00590652995054116,0.0732332846803393,0.0728545411388601,0.0464085938307083,0.0257011919036595,-0.0491898312900008,-0.0307752316298033,-0.0158550322239115,-0.0273711932741457,-0.0276999936809822,0.0218078300437138
"SRR10030465",-0.0179685326212801,0.0256809092761721,-0.0304770063424046,-0.0507093309677532,-0.0130176847896854,0.0407674466450467,0.0463204813518823,0.0913690461969536,-0.0272115945638547,-0.0173801589728884,0.0612017167591784,0.0714035036649849,0.0453559597862617,0.0304339813224406,-0.0421324222382625,-0.029976465524661,-0.0179661340182146,-0.0276443600761818,-0.0282480593524929,0.0181951911028567
"SRR10030466",-0.0163757211756241,0.0213911128541018,-0.0305406600559463,-0.0485586614673598,-0.0143370393644609,0.0390639449248012,0.0468480490305581,0.0916396301556592,-0.0234969729870928,-0.0173801589728884,0.0688075397012358,0.0724329353357541,0.0454365955616065,0.0266102715790506,-0.0447126122621404,-0.0285858591711637,-0.0159433928604673,-0.0273139854055819,-0.0286592743108682,0.0220191552755685
"SRR10030467",-0.0180723740301369,0.0262113290924295,-0.0304193223858321,-0.0516757069112471,-0.0128492322877478,0.0410359581604643,0.0450798181647689,0.0930959162942818,-0.0240349680213152,-0.0173801589728884,0.0765011867316188,0.0707547459875831,0.0461794199810559,0.0271992643094381,-0.0503937241727633,-0.0268674154513935,-0.016271132473377,-0.0265440891013304,-0.02832543540203,0.0169753259500531
"SRR10030468",-0.0174573971972797,0.026701533582408,-0.0307885469681317,-0.0496632511866716,-0.0139679189497108,0.0406297989352517,0.0453668668569414,0.0952075309425584,-0.0239495923730284,-0.0126962533486361,0.0638959913424272,0.0675697076745688,0.0462998477884649,0.0256825061499284,-0.052105969240248,-0.0269981311180216,-0.0154666871842896,-0.0276312311845751,-0.0277063701873359,0.0145676970604794
"SRR10030469",-0.0177566454562158,0.0192498274230158,-0.0306820266363695,-0.0485921764793549,-0.015186596294316,0.0396383316416203,0.0455294519632893,0.0955430410607262,-0.0250004878761794,-0.0173801589728884,0.0689614880235453,0.072238507541725,0.0455011787637526,0.0240218244451463,-0.0430740467605673,-0.0309141137128663,-0.0139405370530306,-0.025828488609287,-0.0296655954806188,0.0168732164654933
"SRR10030470",-0.0175886828414218,0.0137888131676293,-0.0302914606090303,-0.0497571474070008,-0.016922838059926,0.039271484910845,0.0457579397104791,0.0934315573521336,-0.0248138799085376,-0.0173801589728884,0.0616169720806555,0.0724826932548833,0.0456813805074978,0.0250751463881185,-0.0452322847283478,-0.0283353902808402,-0.0145889327173522,-0.026417381314557,-0.0270274724834176,0.0173628244037546
"SRR10030471",-0.017255012828979,0.027006487507219,-0.0301451064578875,-0.0514021903018543,-0.0166802647006346,0.0403735438064534,0.0463039422144262,0.0907822904006496,-0.0244124466750057,-0.0173801589728884,0.0726874737119533,0.0739828799407767,0.0450543440715478,0.0292214875870708,-0.0425699017076858,-0.0303858193235413,-0.0147613160556846,-0.0267004372289522,-0.0291804066224528,0.0192820333052659
"SRR10030472",-0.0172866186024044,0.0205963177297274,-0.0305753156321419,-0.0492453215372355,-0.0142663842364534,0.0397775338402194,0.0448810665077792,0.0902951740591343,-0.0267976472439015,-0.0173801589728884,0.0740348983604931,0.0746561228356928,0.045279835256158,0.0272656599200356,-0.0497347305557941,-0.0304707639133998,-0.0130098653971784,-0.0262965534743612,-0.0275599022547077,0.0167616604586151
