"","MEblue","MEsalmon","MEroyalblue","MEpink","MEsienna3","MEpaleturquoise","MEplum1","MEdarkred","MEmidnightblue","MEbrown","MEdarkgreen","MEcyan","MEmagenta","MEgreenyellow","MEwhite","MEblack","MEturquoise","MElightsteelblue1","MEgreen","MEorangered4","MEskyblue3","MEgrey"
"SRR3124997",-0.124131953334863,-0.0567257374256451,-0.0103651960661134,-0.00996110391596613,-0.0507034791447452,-0.0724979208689756,-0.0660944217583235,0.0527733960982453,-0.0752405813590759,0.0380678831306131,-0.0233886879231505,0.0638893076276296,0.0759310602652594,0.155068453066186,0.149551404248753,0.0894143268111682,0.0912083211477839,0.00184786777031486,-0.00904500149251988,-0.00873254902617251,-0.0111672281226596,-0.0173193075982653
"SRR3124998",-0.132415012737705,-0.0593078123739635,-0.0275507649608783,-0.0143620389303775,-0.0428411899161826,-0.0761074873403695,-0.0824858443440923,0.0993937939234681,-0.0354527832309314,0.0584026142958556,-0.012606528890663,0.0218676802445108,-0.0115489155223356,0.176551235070961,0.136299829705334,0.0573880498614093,0.0840061446180324,0.106765676083005,-0.0128843537986252,-0.012312172316537,-0.0112927817548632,-0.0323503127960466
"SRR3125002",0.062827128511254,0.0323624767185791,-0.0141974380592406,-0.0105088373227703,-0.0303068753615212,0.0641687453838893,-0.0211024990516507,-0.0670851650461071,-0.0295686585987602,-0.0635155794875692,-0.013686534873534,-0.0250912027253232,-0.0250574148794461,-0.0464744861699103,0.0154730662941184,-0.0108294835659506,-0.0403311044926587,-0.0472149218172629,-0.0242897097977458,-0.00580421131887544,-0.0292194546044042,-0.0088812324650484
"SRR3125004",-0.120919204871905,-0.0621546699108387,-0.00575614255058588,-0.00364693611607201,-0.0580366571555435,-0.0647503901807101,-0.0784583306736926,0.0411301030454677,-0.061205305091675,0.0447493428892671,-0.00430429374797908,0.0491574496771446,0.0493207833982965,0.126901735869772,0.119241333068779,0.0712816824233006,0.0929805581844515,-0.00515033706841975,-0.0122726460554093,-0.0121906325810951,-0.0172403290878394,-0.0359351692984317
"SRR3125005",0.0182694260767617,0.0236672897177186,0.0154502762831482,-0.0203944549502162,-0.0217620472065725,0.00596221408663275,-0.066300043611621,0.00300008481357199,0.0415947185524006,-0.0180535857302238,-0.0150537655139561,0.0338087401121088,-0.0950820962834648,-0.0282201958316486,-0.0655873206974738,-0.0993391883080609,-0.0407285876485255,-0.0261536812324682,-0.0212193969697358,-0.0148060420271595,-0.021423505737535,0.0116229691798581
"SRR30310344",0.000739109690144053,0.0223421464622019,-0.018492014246826,-0.00542482364359573,-0.030048104492985,-0.0443202440581247,0.0250175844796453,0.0380542806365081,0.0459224126355631,0.0076336771644203,-0.0175362125489644,-0.000340565319449103,0.0279798063791999,0.0183889166038846,-0.00607517523987613,-0.0179100577945595,-0.0257607589913643,-0.00590555976794482,0.0203534550368455,-0.00540683109378462,-0.0118085659793162,0.0089443874095262
"SRR30310345",-0.00257138340237148,0.0247978485156709,-0.00405377321543179,0.0579242467363514,0.0156503579408321,-0.0158009408761029,0.0164554962137888,0.059461179801308,-0.00176273598770273,-0.0177454324843161,-0.0179001026278545,-0.0348073994816595,-0.0084979602611262,0.10290889219394,0.103146966402948,-0.00333824005252483,-0.0082121563811477,0.00545264604360783,0.169745322770406,0.00157065874158253,0.0856418704777639,-0.0154908696559009
"SRR30310346",0.011610231719425,0.030284266094102,-0.0831894575334046,0.00330919499008784,-0.0258176457696811,-0.00780218578712208,0.0829819674896365,0.0243153125918833,-0.0116630690330539,-0.0240346778986647,-0.0203251618351108,-0.0294724729003572,0.0158672709412764,0.0795074233468898,0.0734524347551622,0.0286095500901692,0.00216569556813111,0.0159906645685489,0.43484169149992,0.0843788101887539,0.101847514513268,0.0214799428786841
"SRR30310347",0.0167263209481403,0.0332205584145504,-0.10931267283635,0.0093367768744828,-0.0275436719130032,-0.00782354703502655,0.0677116164094731,0.025563737356106,-0.0131605094517066,-0.0294640129583277,-0.017489153664307,-0.0359414306502838,0.0214409061313791,0.0840381703334101,0.0753658706938583,0.0130915127408736,-0.000919838918173696,0.00491948158573355,0.393286929704533,0.0760055084062629,0.166702588668142,0.0440497895005126
"SRR30310348",0.021232121237067,0.0299262517950346,-0.0334509711650576,0.052136139652899,0.0175260492388359,0.00497538603827753,0.0549356369310886,0.0339802612726865,-0.0200719111750954,-0.0349464473088588,-0.0212893501045938,-0.0447522355284494,0.0147218134760495,0.0882439758697836,0.117563120462815,0.0294172738167033,-0.00839785317891373,-0.0221281703709021,0.147962938350823,0.0107478023731386,0.0409856624072003,-6.48236718566988e-05
